"Kelowna
211 Bernard Ave, KELOWNA, BC",Actual / Theoretical Cost Report Product Detail,01/17/2024 19:27
P1229,LIQUEUR PIMMS,1.19,0.00,4.04,0.00,-2.85,0.00,0.00,0.75 LT,0.00
P1184,BAR FOOD - JUICE APPLE,257.73,0.02,260.54,0.02,-2.81,0.00,-1.00,L,0.00
P2659,"BAR FOOD - SPICE NUTMEG GROUND, SHAKER",0.00,0.00,2.43,0.00,-2.43,0.00,0.00,LB,0.00
P1002,APARTIF - CAMPARI,279.73,0.02,281.76,0.02,-2.03,0.00,0.00,0.75 LT,0.00
R8941,BAR FOOD - SPICE CINNAMON STICKS (TFR),8.55,0.00,10.47,0.00,-1.92,0.00,0.00,LB,0.00
P2066,BAR FOOD - SPICE TURMERIC GROUND,3.99,0.00,5.76,0.00,-1.77,0.00,0.00,LB,0.00
R6238,BAR FOOD - CUCUMBER (TFR),204.13,0.01,205.87,0.01,-1.74,0.00,-1.00,LB,0.00
P2012,RUM BACARDI SELECT (BLACK),26.13,0.00,27.59,0.00,-1.46,0.00,0.00,0.75 LT,0.00
R16293,BAR FOOD - THYME FRESH (TFR),0.70,0.00,2.00,0.00,-1.30,0.00,0.00,LB,0.00
P1414,TEA RED ROSE ORANGE PEKOE,4.76,0.00,5.66,0.00,-0.90,0.00,-24.00,EACH,0.00
P2544,LIQUEUR GOLDSCHLAGER - CINNAMON SCHNAPPS,1.79,0.00,2.27,0.00,-0.48,0.00,0.00,0.75 LT,0.00
P6282,BAR MIX ZAP LIME,90.04,0.01,90.52,0.01,-0.48,0.00,0.00,LT,0.00
R16285,BAR PREP PORTION GRAPE SKEWERS,35.39,0.00,35.84,0.00,-0.45,0.00,-6.00,PORTION,0.00
P1310,RUM APPLETONS 12 YR,7.57,0.00,7.67,0.00,-0.10,0.00,0.00,0.75 LT,0.00
R16289,BAR PREP PORTION LYCHEE SKEWER,46.25,0.00,46.33,0.00,-0.08,0.00,-1.00,PORTION,0.00
R6410,BAR FOOD - GINGER ROOT (TFR),0.08,0.00,0.09,0.00,-0.01,0.00,0.00,LB,0.00
P1169,GRAPEFRUIT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,EACH,0.00
P1304,RED BULL CAN YELLOW/TROPICAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,EA/CAN,0.00
P2184,BEEF STICK KIPPERED HOT FRSH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KG,0.00
P2196,SYRUP BITTERS MS BETTERS KIWI SUMAC EARL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,L,0.00
P2480,RUM APPLETONS 151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75 LT,0.00
P2535,GIN AVIATION AMERICAN GIN BATCH DISTILLED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75 LT,0.00
P3031,SODA COKE ZERO BTL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,L,0.00
P5757,Z* INACTIVE DUPLICATE - BAR FOOD - PINK SALT RIM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LB,0.00
,Miscellaneous 2,0.00,0.00,-0.01,0.00,0.01,0.00,,,
P1358,SHERRY TIO PEPE FINO,0.00,0.00,-0.04,0.00,0.04,0.00,0.00,0.75 LT,0.00
R16258,BAR FOOD - GRAPES (TFR),0.00,0.00,-0.04,0.00,0.04,0.00,0.00,LB,0.00
P1108,COFFEE ESPRESSO BEANS,0.39,0.00,0.00,0.00,0.39,0.00,0.00,LB,0.00
P1231,LIQUEUR LUXARDO SAMBUCCA WHITE,50.25,0.00,49.50,0.00,0.75,0.00,0.00,0.75 LT,1.68
P2200,WATER SPARKLING ARANCIATA ORANGE CAN,1.46,0.00,0.00,0.00,1.46,0.00,1.00,L,0.00
P2576,VODKA SMIRNOFF - ELECTRIC APPLE,2.13,0.00,0.00,0.00,2.13,0.00,0.00,0.75 LT,0.00
P2942,LIQUEUR PHILLIPS ROOTBEER SCHNAPPS,3.80,0.00,1.61,0.00,2.19,0.00,0.00,0.75 LT,1.27
P2662,VODKA KETEL ONE CITROEN,2.76,0.00,0.00,0.00,2.76,0.00,0.00,0.75 LT,0.00
P1469,VODKA VAN GOGH ESPRESSO,2.98,0.00,0.00,0.00,2.98,0.00,0.00,0.75 LT,0.00
P2550,LIQUEUR SOUR PUSS APPLE,39.06,0.00,35.71,0.00,3.35,0.00,0.00,0.75 LT,0.00
P2577,VODKA SMIRNOFF - ORANGE,3.70,0.00,0.00,0.00,3.70,0.00,0.00,0.75 LT,0.00
P1221,LIQUEUR KAHLUA,908.27,0.06,904.07,0.06,4.20,0.00,0.00,1.14 LT,8.54
P1194,JUICE TOMATO,72.48,0.00,68.24,0.00,4.24,0.00,1.00,L,0.00
,Liq,0.00,0.00,-5.00,0.00,5.00,0.00,,,
,cost of liquor,0.00,0.00,-5.00,0.00,5.00,0.00,,,
P1344,SCOTCH JOHNNIE WALKER BLACK,53.54,0.00,47.88,0.00,5.66,0.00,0.00,0.75 LT,0.00
P2580,VODKA STOLICHNAYA PREMIUM,77.05,0.01,69.94,0.00,7.11,0.00,0.00,1.14 LT,0.00
P2198,TEA PASSION / HIBISCUS,0.00,0.00,-7.24,0.00,7.24,0.00,35.00,EACH,0.00
P2776,LIQUEUR CREME DE MENTHE GREEN,7.57,0.00,0.00,0.00,7.57,0.00,0.00,0.75 LT,0.00
,coco syrup,0.00,0.00,-9.75,0.00,9.75,0.00,,,
,coconut syrup,0.00,0.00,-10.00,0.00,10.00,0.00,,,
P1369,SODA GRAPEFRUIT SAN PELLEGRINO,21.56,0.00,10.51,0.00,11.05,0.00,5.00,L,0.00
P1401,SUGAR SPLENDA PACKETS/TUBES,75.49,0.01,64.11,0.00,11.38,0.00,1.00,LB,0.00
P1135,FERNET BRANCA,28.03,0.00,16.20,0.00,11.83,0.00,0.00,0.5 LT,0.00
P1113,COGNAC REMY MARTIN VSOP,12.98,0.00,0.00,0.00,12.98,0.00,0.00,0.75 LT,0.00
P1467,VODKA TITOS HANDMADE,269.89,0.02,255.03,0.02,14.86,0.00,1.00,0.75 LT,2.09
,chai syrup,0.00,0.00,-15.00,0.00,15.00,0.00,,,
,COL FOH,0.00,0.00,-15.00,0.00,15.00,0.00,,,
P2969,TEQUILA PATRON REPOSADO,577.56,0.04,561.04,0.04,16.52,0.00,0.00,0.75 LT,0.00
P1457,VODKA ABSOLUT,37.88,0.00,20.64,0.00,17.24,0.00,1.00,0.75 LT,0.00
,col/Brittany,0.00,0.00,-20.00,0.00,20.00,0.00,,,
,off sale,0.00,0.00,-20.00,0.00,20.00,0.00,,,
P2003,VERMOUTH CINZANO ROSSO,95.09,0.01,74.94,0.01,20.15,0.00,2.00,L,0.00
P1343,SCOTCH GLENLIVET 12YR,326.37,0.02,304.31,0.02,22.06,0.00,0.00,0.75 LT,0.00
P2540,LIQUEUR BLUE CURACAO BOLS,122.66,0.01,100.57,0.01,22.09,0.00,1.00,0.75 LT,0.58
,Envelope,0.00,0.00,-25.00,0.00,25.00,0.00,,,
P1411,SYRUP GINGER (EFCON),"1,546.61",0.10,"1,520.47",0.10,26.14,0.00,2.00,L,0.00
P6363,JUICE OLIVE BRINE,28.69,0.00,0.00,0.00,28.69,0.00,2.00,LT,0.00
P1445,VERMOUTH MARTINI BIANCO,4.55,0.00,-24.88,0.00,29.43,0.00,3.00,L,0.00
,smirnoff,0.00,0.00,-30.00,0.00,30.00,0.00,,,
P5717,"MEZCAL, 400 CONEJOS",21.16,0.00,-9.68,0.00,30.84,0.00,1.00,0.75 LT,0.00
,money in safe,0.00,0.00,-35.00,0.00,35.00,0.00,,,
,Syrups,0.00,0.00,-35.00,0.00,35.00,0.00,,,
,col/ Brady,0.00,0.00,-35.00,0.00,35.00,0.00,,,
,victoria,0.00,0.00,-40.00,0.00,40.00,0.00,,,
,cpl/boh,0.00,0.00,-40.00,0.00,40.00,0.00,,,
P1984,RUM APPLETON VX (HOUSE),292.91,0.02,251.59,0.02,41.32,0.00,1.00,1.14 LT,1.55
P3141,"BAR FOOD - SPICE, NUTMEG WHOLE",79.62,0.01,37.00,0.00,42.62,0.00,1.00,LB,0.00
,chq #860655,0.00,0.00,-43.32,0.00,43.32,0.00,,,
R8491,BAR FOOD - TAJIN SPICE (TFR),53.95,0.00,9.98,0.00,43.97,0.00,5.00,LB,0.00
P2548,LIQUEUR SAMBUCA BLACK PASSIONE NERA - LUXARDO,43.47,0.00,-0.58,0.00,44.05,0.00,2.00,0.75 LT,0.00
P1112,COGNAC COURVOISIER VS,45.73,0.00,0.00,0.00,45.73,0.00,1.00,0.75 LT,0.00
P2193,RASPBERRY FROZEN,582.19,0.04,535.93,0.04,46.26,0.00,4.00,KG,17.06
,col/RH,0.00,0.00,-47.00,0.00,47.00,0.00,,,
P2189,JUICE POMEGRANATE 100PCT PURE FRESH,333.39,0.02,285.57,0.02,47.82,0.00,4.00,L,0.00
P1156,GIN BOMBAY SAPHIRE,185.56,0.01,135.84,0.01,49.72,0.00,2.00,1.14 LT,0.00
P1063,BITTERS MS BETTERS ORANGE TREE,125.87,0.01,72.59,0.00,53.28,0.00,0.00,L,0.00
P1317,RYE CROWN ROYAL,595.92,0.04,537.77,0.04,58.15,0.00,2.00,1.14 LT,0.00
P5484,SYRUP AGAVE NECTAR,299.17,0.02,240.83,0.02,58.34,0.00,4.00,LT,0.00
P2545,LIQUEUR LICHI LI GIFFARD,0.00,0.00,-58.45,0.00,58.45,0.00,2.00,0.7 LT,0.00
,Tastings,0.00,0.00,-60.42,0.00,60.42,0.00,,,
,tadtings,0.00,0.00,-60.68,0.00,60.68,0.00,,,
P1413,SYRUP SIMPLE (EFCON),"2,421.37",0.16,"2,359.02",0.16,62.35,0.00,16.00,L,0.00
P2005,RYE BULLEIT (SMALL BATCH),63.34,0.00,0.00,0.00,63.34,0.00,2.00,0.75 LT,0.00
P6126,BITTERS MALAGASY CHOCOLATE,0.00,0.00,-67.94,0.00,67.94,0.00,0.00,L,0.00
,RH,0.00,0.00,-68.00,0.00,68.00,0.00,,,
P5751,"BITTERS, MOONDOG",0.00,0.00,-72.76,0.00,72.76,0.00,1.00,L,0.00
P1232,LIQUEUR ST GERMAIN ELDERFLOWER,125.19,0.01,42.71,0.00,82.48,0.01,2.00,0.75 LT,0.00
P6271,BAR FOOD - MALDON SALT FLAKES SEA,0.00,0.00,-83.66,-0.01,83.66,0.01,2.00,KG,0.00
P1222,LIQUEUR LILLET BLANC,81.82,0.01,-2.40,0.00,84.22,0.01,4.00,0.75 LT,0.00
P2178,SODA BIB COCA COLA ZERO,21.24,0.00,-63.64,0.00,84.88,0.01,27.00,L,0.00
P1309,RUM WHITE CAPTAIN MORGAN (WELL),"5,382.96",0.36,"5,287.99",0.36,94.97,0.01,4.00,1.14 LT,9.84
,bar,0.00,0.00,-96.76,-0.01,96.76,0.01,,,
,Rum,0.00,0.00,-100.00,-0.01,100.00,0.01,,,
P1459,VODKA GREY GOOSE,"1,340.41",0.09,"1,233.84",0.08,106.57,0.01,3.00,0.75 LT,-39.46
,TAste,0.00,0.00,-109.59,-0.01,109.59,0.01,,,
P1989,MEZCAL SIETE MISTERIOS DOBA YEJ,690.49,0.05,576.15,0.04,114.34,0.01,2.00,0.75 LT,0.00
,bar void col,0.00,0.00,-116.26,-0.01,116.26,0.01,,,
P1407,SUGAR WHITE STIX,194.51,0.01,71.42,0.00,123.09,0.01,48.00,LB,0.00
P1279,BAR FOOD - PEACHES SLCD FROZEN,606.52,0.04,473.94,0.03,132.58,0.01,30.00,LB,0.00
P2092,BAR FOOD - CRANBERRY WHOLE FRZN,0.96,0.00,-137.62,-0.01,138.58,0.01,12.00,KG,0.00
,MNP prty,0.00,0.00,-140.00,-0.01,140.00,0.01,,,
,col,0.00,0.00,-141.00,-0.01,141.00,0.01,,,
P1206,LIQUEUR APEROL,"2,448.90",0.17,"2,298.53",0.16,150.37,0.01,7.00,0.75 LT,0.00
,taster,0.00,0.00,-154.18,-0.01,154.18,0.01,,,
P2187,BAR FOOD - HORSERADISH PREPARED EXTRA HOT,16.37,0.00,-149.56,-0.01,165.93,0.01,33.00,L,0.00
P1427,TEQUILA  JOSE CUERVO TRADICIONAL GOLD REPOSADO,166.73,0.01,0.00,0.00,166.73,0.01,6.00,0.75 LT,0.00
,Taste,0.00,0.00,-169.59,-0.01,169.59,0.01,,,
,tasting,0.00,0.00,-172.95,-0.01,172.95,0.01,,,
,COL,0.00,0.00,-180.00,-0.01,180.00,0.01,,,
P1983,LIQUEUR LICOR 43,500.31,0.03,318.34,0.02,181.97,0.01,8.00,0.75 LT,0.00
,off sales,0.00,0.00,-195.00,-0.01,195.00,0.01,,,
P1192,BAR FOOD - JUICE ORANGE FRESH,"2,913.58",0.20,"2,713.35",0.18,200.23,0.01,23.00,GAL,0.00
P2182,BITTERS PINEAPPLE STAR ANISE,328.79,0.02,125.89,0.01,202.90,0.01,1.00,L,0.00
P2984,TEQUILA EL TEQUILENO PLATINO BLANCO,114.96,0.01,-88.72,-0.01,203.68,0.01,2.00,0.75 LT,0.00
,Coco tequila,0.00,0.00,-210.00,-0.01,210.00,0.01,,,
,TASTE,0.00,0.00,-214.81,-0.01,214.81,0.01,,,
,tate,0.00,0.00,-224.68,-0.02,224.68,0.02,,,
,Ketel cuke,0.00,0.00,-225.00,-0.02,225.00,0.02,,,
P1061,BITTERS ANGOSTURA,132.52,0.01,-93.54,-0.01,226.06,0.02,2.00,L,0.00
P1018,BAR FOOD - WORCESTERSHIRE,0.93,0.00,-230.35,-0.02,231.28,0.02,30.00,L,0.00
,tste,0.00,0.00,-231.32,-0.02,231.32,0.02,,,
P1409,SYRUP DEMERARA (EFCON),237.49,0.02,-9.06,0.00,246.55,0.02,33.00,KG,0.00
P2197,TEA KOMBUCHA GINGER MASTER BREW GLS,810.87,0.05,560.26,0.04,250.61,0.02,37.00,L,6.26
P2963,BITTERS FIREWATER HABANERO,424.23,0.03,128.15,0.01,296.08,0.02,2.00,L,0.00
P1213,LIQUEUR COINTREAU,600.01,0.04,301.20,0.02,298.81,0.02,9.00,0.75 LT,0.00
P2965,FLOWER EDIBLE ORCHID,770.57,0.05,459.65,0.03,310.92,0.02,611.00,EACH,0.00
P2666,WINE PELLER ESTATES ROSE BOX,"2,234.95",0.15,"1,903.99",0.13,330.96,0.02,41.00,L,0.00
P1068,BOURBON BUFFALO TRACE,"2,129.71",0.14,"1,790.42",0.12,339.29,0.02,11.00,0.75 LT,2.63
P1075,BRANDY WELL (ST REMY VSOP),525.54,0.04,177.63,0.01,347.91,0.02,14.00,0.75 LT,0.00
P1069,BOURBON BULLEIT,969.86,0.07,608.39,0.04,361.47,0.02,11.00,0.75 LT,0.00
P1020,BAR FOOD HERB ROSEMARY FRSH,442.82,0.03,68.18,0.00,374.64,0.03,19.00,LB,0.00
P1015,BAR FOOD - MINT FRESH,"2,807.03",0.19,"2,401.23",0.16,405.80,0.03,27.00,LB,34.62
P1014,BAR FOOD - MARGARITA SALT,508.56,0.03,87.22,0.01,421.34,0.03,86.00,LB,0.00
,col/bar,0.00,0.00,-425.77,-0.03,425.77,0.03,,,
P1440,VERMOUTH DOLIN DE CHAMBERY,654.85,0.04,183.61,0.01,471.24,0.03,40.00,0.75 LT,0.00
P2027,BITTERS MS BETTERS GREEN STRAWBERRY,962.99,0.07,485.79,0.03,477.20,0.03,3.00,L,0.00
P2553,RUM CAPTAIN MORGAN SPICED,"1,788.62",0.12,"1,296.74",0.09,491.88,0.03,16.00,1.14 LT,2.28
P1502,WINE BOX DOMAIN DOR RED/TOSCANO ROSSO,"1,188.98",0.08,608.99,0.04,579.99,0.04,100.00,L,0.00
P1220,LIQUEUR JAGERMEISTER,"1,849.64",0.13,"1,245.31",0.08,604.33,0.04,15.00,0.75 LT,0.00
P1466,VODKA SMIRNOFF VANILLA TWIST,"1,043.07",0.07,424.99,0.03,618.08,0.04,32.00,0.75 LT,7.92
P1241,BAR FOOD - MILK 2PCT / WHOLE,"1,663.90",0.11,"1,033.63",0.07,630.27,0.04,260.00,L,0.00
P2571,VODKA ABSOLUT CITRON,"1,442.02",0.10,787.56,0.05,654.46,0.04,31.00,0.75 LT,1.64
P1065,BITTERS ROOTBEER,377.45,0.03,-293.50,-0.02,670.95,0.05,5.00,L,0.00
,col/foh,0.00,0.00,-679.00,-0.05,679.00,0.05,,,
,tastings,0.00,0.00,-716.66,-0.05,716.66,0.05,,,
P2568,TEQUILA EL TEQUILENO REPOSADO,"1,130.68",0.08,197.77,0.01,932.91,0.06,28.00,0.75 LT,0.00
P1996,TRIPLE SEC HENKES/BOLS,"2,292.73",0.15,"1,275.25",0.09,"1,017.48",0.07,51.00,0.75 LT,0.00
,taste,0.00,0.00,"-3,381.11",-0.23,"3,381.11",0.23,,,
P1198,BAR FOOD - LEMONS,705.79,0.05,"-4,610.31",-0.31,"5,316.10",0.36,"13,215.00",EACH,0.00
P1202,BAR FOOD - LIMES,"2,196.21",0.15,"-14,130.09",-0.96,"16,326.30",1.10,"43,934.00",EACH,0.00
,Total,"247,647.50",16.74,"255,322.84",17.26,"-7,675.34",-0.52,,,537.17
,Total 7010 - COS - Liquor,"247,647.50",16.74,"255,322.84",17.26,"-7,675.34",-0.52,,,537.17
Date Range: between 01/02/2023 and 12/31/2023;
7010 - COS - Liquor
